#name,region,country,latitude,longitude,location_type,conflict_data,population
Merged_4e Arrondissement_Antananarivo Atsimondrano_Arivonimamo,Analamanga,Madagascar,-18.98421996071383,47.40175674853617,flood_zone,,1603500
Merged_Betafo_Faratsiho,Vakinankaratra,Madagascar,-19.62182035,46.903532299999995,flood_zone,,624341
Ambatolampy,Vakinankaratra,Madagascar,-19.3858258,47.4271559,flood_zone,,356966
Antsirabe II,Vakinankaratra,Madagascar,-13.975833,49.965937,flood_zone,,566256
Mandoto,Vakinankaratra,Madagascar,-19.5790031,46.2881896,flood_zone,,203916
Merged_Miarinarivo_Soavinandriana,Itasy,Madagascar,-19.063380549999998,46.822697399999996,flood_zone,,596286
Tsiroanomandidy,Bongolava,Madagascar,-18.7698412,46.0495226,flood_zone,,455573
Fenoarivobe,Bongolava,Madagascar,-18.4518171,46.5642647,flood_zone,,181773
Merged_Fianarantsoa I_Ambalavao,Haute Matsiatra,Madagascar,-21.78743515,46.7765211,flood_zone,,557033
Merged_Ambohimahasoa_Lalangina_Isandra,Haute Matsiatra,Madagascar,-21.275911533333332,47.1417333104388,flood_zone,,715887
Ikalamavony,Haute Matsiatra,Madagascar,-21.1671472,46.5980166,flood_zone,,124543
Merged_Vohibato_Farafangana,Haute Matsiatra,Madagascar,-22.83713415,47.81968455,flood_zone,,749965
Merged_Ambatofinandrahana_Ambositra,Amoron I Mania,Madagascar,-20.5416992,47.0241348,flood_zone,,582238
Fandriana,Amoron I Mania,Madagascar,-20.2387837,47.3783614,flood_zone,,280946
Merged_Manandriana_Ikongo,Amoron I Mania,Madagascar,-21.939220300000002,47.243116150000006,flood_zone,,392479
Ifanadiana,Vatovavy Fitovinany,Madagascar,-21.3029887,47.6366961,flood_zone,,214979
Merged_Nosy-Varika_Befotaka,Vatovavy Fitovinany,Madagascar,-20.41506795,48.4320434,flood_zone,,410936
Mananjary,Vatovavy Fitovinany,Madagascar,-21.2385393,48.3463035,flood_zone,,441644
Vohipeno,Vatovavy Fitovinany,Madagascar,-22.3548744,47.8399542,flood_zone,,212283
Ihosy,Ihorombe,Madagascar,-22.4491626,46.1389867,flood_zone,,283403
Ivohibe,Ihorombe,Madagascar,-22.4810358,46.888135,flood_zone,,81554
Iakora,Ihorombe,Madagascar,-23.100785,46.659336,flood_zone,,70244
Vangaindrano,Atsimo Atsinanana,Madagascar,-23.3498702,47.6047642,flood_zone,,459294
Midongy-Atsimo,Atsimo Atsinanana,Madagascar,-23.5895974,47.0168975,flood_zone,,63846
Vondrozo,Atsimo Atsinanana,Madagascar,-22.8204183,47.3210914,flood_zone,,178354
Merged_Toamasina I_Ambatondrazaka,Atsinanana,Madagascar,-17.7872524,48.58959655,flood_zone,,835098
Brickaville,Atsinanana,Madagascar,-18.8208628,49.0694434,flood_zone,,262052
Merged_Vatomandry_Antanambao Manampontsy,Atsinanana,Madagascar,-19.40947365,48.7764245,flood_zone,,262775
Mahanoro,Atsinanana,Madagascar,-19.9001695,48.8094884,flood_zone,,332305
Marolambo,Atsinanana,Madagascar,-20.0489861,48.1303834,flood_zone,,208407
Toamasina II,Atsinanana,Madagascar,-18.1552071,49.4126967,flood_zone,,322411
Maroantsetra,Analanjirofo,Madagascar,-15.4348742,49.7422912,flood_zone,,307927
Merged_Fenerive Est_Vavatenina,Analanjirofo,Madagascar,-17.4247646,49.30310165,flood_zone,,671136
Soanierana Ivongo,Analanjirofo,Madagascar,-16.920327,49.585367,flood_zone,,189591
Amparafaravola,Alaotra Mangoro,Madagascar,-17.587293,48.2237417,flood_zone,,372933
Moramanga,Alaotra Mangoro,Madagascar,-18.9471494,48.2304269,flood_zone,,383419
Anosibe-An'ala,Alaotra Mangoro,Madagascar,-19.4382256,48.2060125,flood_zone,,124307
Mahajanga I,Boeny,Madagascar,-16.60086955,46.177525540376365,flood_zone,,307448
Merged_Ambato Boeni_Marovoay,Boeny,Madagascar,-16.29022475,46.6784344,flood_zone,,548967
Mitsinjo,Boeny,Madagascar,-16.011496,45.866061,flood_zone,,83023
Mahajanga II,Boeny,Madagascar,-15.7155887,46.3161487,flood_zone,,108031
Merged_Port-Berge (Boriziny-Vaovao)_Mampikony,Sofia,Madagascar,-15.879134971980292,47.67642586189609,flood_zone,,449910
Merged_Analalava_Antsohihy,Sofia,Madagascar,-14.7547645,47.8679263,flood_zone,,398684
Bealanana,Sofia,Madagascar,-14.5423728,48.7482434,flood_zone,,199279
Merged_Maevatanana_Tsaratanana_Ambanja,Betsiboka,Madagascar,-13.847797866666667,48.61908252661876,flood_zone,,645565
Kandreho,Betsiboka,Madagascar,-17.4840961,46.0947251,flood_zone,,28831
Ambatomainty,Melaky,Madagascar,-17.6963929,45.6655134,flood_zone,,40996
Antsalova,Melaky,Madagascar,-18.6757519,44.6219368,flood_zone,,81298
Maintirano,Melaky,Madagascar,-18.0608947,44.023951,flood_zone,,148553
Morafenobe,Melaky,Madagascar,-17.8189515,44.9251181,flood_zone,,33492
Tsihombe,Androy,Madagascar,-25.318547,45.484057,flood_zone,,153490
Merged_Ambovombe-Androy_Amboasary-Atsimo,Androy,Madagascar,-25.1071589,46.23653635,flood_zone,,778644
Taolagnaro,Anosy,Madagascar,-25.0290132,46.9966565,flood_zone,,378865
Betroka,Anosy,Madagascar,-23.2672273,46.097117,flood_zone,,265931
Miandrivazo,Menabe,Madagascar,-19.5312416,45.4587681,flood_zone,,182257
Merged_1er Arrondissement_2e Arrondissement_3e Arrondissement_5e Arrondissement_6e Arrondissement_Antananarivo Avaradrano_Ambohidratrimo_Manjakandriana_Andramasina,Analamanga,Madagascar,-18.924567093708955,47.56580220992647,town,,3029979
Ankazobe,Analamanga,Madagascar,-18.3143843,47.1144865,town,,211176
Anjozorobe,Analamanga,Madagascar,-18.401176,47.8820115,town,,246837
Merged_Antsirabe I_Antanifotsy,Vakinankaratra,Madagascar,-19.76458065,47.175896425000005,town,,761443
Mananara-Avaratra,Analanjirofo,Madagascar,-16.1687557,49.7655872,town,,236814
Andilamena,Alaotra Mangoro,Madagascar,-17.0141073,48.5725128,town,,98280
Soalala,Boeny,Madagascar,-16.102869,45.328472,town,,66884
Mandritsara,Sofia,Madagascar,-15.844323,48.8238884,town,,353930
