#name1,name2,distance,force_redirection
Merged_4e Arrondissement_Antananarivo Atsimondrano_Arivonimamo,Merged_1er Arrondissement_2e Arrondissement_3e Arrondissement_5e Arrondissement_6e Arrondissement_Antananarivo Avaradrano_Ambohidratrimo_Manjakandriana_Andramasina,174.55,0
Merged_1er Arrondissement_2e Arrondissement_3e Arrondissement_5e Arrondissement_6e Arrondissement_Antananarivo Avaradrano_Ambohidratrimo_Manjakandriana_Andramasina,Ambatolampy,481.65,0
Ambatolampy,Merged_Antsirabe I_Antanifotsy,454.52,0
Merged_Antsirabe I_Antanifotsy,Camp_Vakinankaratra,179.97,0
Camp_Vakinankaratra,Merged_Betafo_Faratsiho,275.61,0
Merged_Betafo_Faratsiho,Merged_Miarinarivo_Soavinandriana,564.26,0
Merged_Miarinarivo_Soavinandriana,Fenoarivobe,663.93,0
Fenoarivobe,Ankazobe,567.13,0
Ankazobe,Anjozorobe,772.42,0
Anjozorobe,Moramanga,647.67,0
Moramanga,Anosibe-An'ala,491.68,0
Anosibe-An'ala,Merged_Vatomandry_Antanambao Manampontsy,571.14,0
Merged_Vatomandry_Antanambao Manampontsy,Mahanoro,491.81,0
Mahanoro,Merged_Nosy-Varika_Befotaka,638.42,0
Merged_Nosy-Varika_Befotaka,Marolambo,474.36,0
Marolambo,Fandriana,775.6,0
Fandriana,Camp_Amoron_I_Mania,314.86,0
Camp_Amoron_I_Mania,Merged_Ambatofinandrahana_Ambositra,216.28,0
Merged_Ambatofinandrahana_Ambositra,Merged_Ambohimahasoa_Lalangina_Isandra,743.57,0
Merged_Ambohimahasoa_Lalangina_Isandra,Camp_Haute_Matsiatra,180.89,0
Camp_Haute_Matsiatra,Merged_Fianarantsoa I_Ambalavao,456.49,0
Merged_Fianarantsoa I_Ambalavao,Merged_Manandriana_Ikongo,490.66,0
Merged_Manandriana_Ikongo,Camp_Vatovavy_Fitovinany,326.2,0
Camp_Vatovavy_Fitovinany,Ifanadiana,454.79,0
Ifanadiana,Mananjary,712.53,0
Mananjary,Mahabo,1215.77,0
Mahabo,Vohipeno,50.77,0
Vohipeno,Merged_Vohibato_Farafangana,482.69,0
Merged_Vohibato_Farafangana,Vondrozo,498.87,0
Vondrozo,Ivohibe,550.12,0
Ivohibe,Iakora,660.63,0
Iakora,Betroka,586.34,0
Betroka,Camp_Anosy,31.51,0
Camp_Anosy,Ihosy,799.62,0
Ihosy,Camp_Ihorombe,74.04,0
Camp_Ihorombe,Beroroha,1192.82,0
Beroroha,Manja,874.68,0
Manja,Ankazoabo,877.15,0
Ankazoabo,Camp_Atsimo-Andrefana,596.29,0
Camp_Atsimo-Andrefana,Sakaraha,29.9,0
Sakaraha,Benenitra,766.69,0
Benenitra,Betioky Atsimo,752.63,0
Betioky Atsimo,Merged_Toliary-I_Toliary-II,760.02,0
Merged_Toliary-I_Toliary-II,Ampanihy Ouest,1415.33,0
Ampanihy Ouest,Beloha,906.13,0
Beloha,Tsihombe,447.14,0
Tsihombe,Camp_Androy,623.13,0
Camp_Androy,Merged_Ambovombe-Androy_Amboasary-Atsimo,159.47,0
Merged_Ambovombe-Androy_Amboasary-Atsimo,Taolagnaro,764.13,0
Taolagnaro,Camp_Atsimo-Atsinanana,1221.29,0
Camp_Atsimo-Atsinanana,Midongy-Atsimo,218.58,0
Midongy-Atsimo,Vangaindrano,634.87,0
Vangaindrano,Ikalamavony,2403.71,0
Ikalamavony,Mandoto,1618.08,0
Mandoto,Miandrivazo,830.8,0
Miandrivazo,Belo Sur Tsiribihina,927.61,0
Belo Sur Tsiribihina,Morondava,661.24,0
Morondava,Antsalova,1655.35,0
Antsalova,Maintirano,857.69,0
Maintirano,Morafenobe,933.08,0
Morafenobe,Ambatomainty,750.47,0
Ambatomainty,Kandreho,478.85,0
Kandreho,Mahajanga I,887.1,0
Mahajanga I,Merged_Ambato Boeni_Marovoay,589.41,0
Merged_Ambato Boeni_Marovoay,Mahajanga II,679.31,0
Mahajanga II,Mitsinjo,538.65,0
Mitsinjo,Soalala,545.3,0
Soalala,Besalampy,1057.52,0
Besalampy,Tsiroanomandidy,2552.54,0
Tsiroanomandidy,Amparafaravola,2475.0,0
Amparafaravola,Merged_Toamasina I_Ambatondrazaka,416.93,0
Merged_Toamasina I_Ambatondrazaka,Andilamena,773.33,0
Andilamena,Merged_Fenerive Est_Vavatenina,838.09,0
Merged_Fenerive Est_Vavatenina,Soanierana Ivongo,578.04,0
Soanierana Ivongo,Mananara-Avaratra,772.88,0
Mananara-Avaratra,Maroantsetra,734.25,0
Maroantsetra,Antalaha,758.31,0
Antalaha,Sambava,658.33,0
Sambava,Antsirabe II,337.49,0
Antsirabe II,Vohemar,604.67,0
Vohemar,Ambilobe,966.6,0
Ambilobe,Merged_Maevatanana_Tsaratanana_Ambanja,782.64,0
Merged_Maevatanana_Tsaratanana_Ambanja,Bealanana,706.48,0
Bealanana,Befandriana Nord,742.85,0
Befandriana Nord,Mandritsara,653.85,0
Mandritsara,Camp_Sofia,34.38,0
Camp_Sofia,Merged_Port-Berge (Boriziny-Vaovao)_Mampikony,1159.12,0
Merged_Port-Berge (Boriziny-Vaovao)_Mampikony,Merged_Analalava_Antsohihy,1140.56,0
Merged_Analalava_Antsohihy,Andapa,1786.25,0
Andapa,Merged_Antsiranana II_Antsiranana I,2397.24,0
Merged_Antsiranana II_Antsiranana I,Toamasina II,5863.03,0
Toamasina II,Brickaville,748.95,0
Brickaville,Morombe,6414.88,0
Morombe,Bekily,3159.22,0
