Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Haute_Matsiatra sim,Camp_Haute_Matsiatra data,Camp_Haute_Matsiatra error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,30,0,0.0,0,0,0.0,0,0,0.0,4,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,34,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,98,0,0.0,72,0,0.0,0,0,0.0,0,0,0.0,19,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,189,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,276,0,0.0,240,0,0.0,0,0,0.0,0,0,0.0,59,0,0.0,2,0,0.0,33,0,0.0,0.0,0,5586,0,610,0
3,2022-02-19,0,0,0.0,47,0,0.0,43,0,0.0,623,0,0.0,447,0,0.0,46,0,0.0,0,0,0.0,215,0,0.0,34,0,0.0,152,0,0.0,0.0,0,12691,0,1607,0
4,2022-02-20,5,0,0.0,178,0,0.0,128,0,0.0,1141,0,0.0,1026,0,0.0,119,0,0.0,0,0,0.0,508,0,0.0,105,0,0.0,416,0,0.0,0.0,0,19482,0,3626,0
5,2022-02-21,8,0,0.0,406,0,0.0,229,0,0.0,1994,0,0.0,1545,0,0.0,223,0,0.0,0,0,0.0,730,0,0.0,191,0,0.0,672,0,0.0,0.0,0,27403,0,5998,0
6,2022-02-22,21,0,0.0,653,0,0.0,355,0,0.0,3131,0,0.0,2193,0,0.0,367,0,0.0,0,0,0.0,1173,0,0.0,326,0,0.0,951,0,0.0,0.0,0,34082,0,9170,0
7,2022-02-23,63,0,0.0,933,0,0.0,488,0,0.0,4520,0,0.0,2923,0,0.0,623,0,0.0,0,0,0.0,1518,0,0.0,471,0,0.0,1355,0,0.0,0.0,0,39535,0,12894,0
8,2022-02-24,137,0,0.0,1190,0,0.0,565,0,0.0,5624,0,0.0,3451,0,0.0,881,0,0.0,0,0,0.0,1856,0,0.0,566,0,0.0,1639,0,0.0,0.0,0,40535,0,15909,0
9,2022-02-25,257,0,0.0,1434,0,0.0,619,0,0.0,6379,0,0.0,3719,0,0.0,1080,0,0.0,0,0,0.0,1997,0,0.0,638,0,0.0,1857,0,0.0,0.0,0,41430,0,17980,0
