#name1,name2,distance,force_redirection
Merged_4e Arrondissement_Antananarivo Atsimondrano_Arivonimamo,Merged_1er Arrondissement_2e Arrondissement_3e Arrondissement_5e Arrondissement_6e Arrondissement_Antananarivo Avaradrano_Ambohidratrimo_Manjakandriana_Andramasina,174.55,0
Merged_4e Arrondissement_Antananarivo Atsimondrano_Arivonimamo,Ambatolampy,402.41,0
Merged_4e Arrondissement_Antananarivo Atsimondrano_Arivonimamo,Merged_Miarinarivo_Soavinandriana,584.45,0
Merged_Betafo_Faratsiho,Camp_Vakinankaratra,275.61,0
Merged_Betafo_Faratsiho,Merged_Antsirabe I_Antanifotsy,307.51,0
Merged_Betafo_Faratsiho,Merged_Miarinarivo_Soavinandriana,564.26,0
Ambatolampy,Merged_4e Arrondissement_Antananarivo Atsimondrano_Arivonimamo,402.41,0
Ambatolampy,Merged_Antsirabe I_Antanifotsy,454.52,0
Ambatolampy,Merged_1er Arrondissement_2e Arrondissement_3e Arrondissement_5e Arrondissement_6e Arrondissement_Antananarivo Avaradrano_Ambohidratrimo_Manjakandriana_Andramasina,481.65,0
Antsirabe II,Sambava,337.49,0
Antsirabe II,Vohemar,604.67,0
Antsirabe II,Andapa,754.91,0
Mandoto,Merged_Betafo_Faratsiho,616.83,0
Mandoto,Merged_Miarinarivo_Soavinandriana,742.67,0
Mandoto,Camp_Vakinankaratra,794.38,0
Merged_Miarinarivo_Soavinandriana,Merged_Betafo_Faratsiho,564.26,0
Merged_Miarinarivo_Soavinandriana,Merged_4e Arrondissement_Antananarivo Atsimondrano_Arivonimamo,584.45,0
Merged_Miarinarivo_Soavinandriana,Fenoarivobe,663.93,0
Tsiroanomandidy,Fenoarivobe,605.06,0
Tsiroanomandidy,Merged_Miarinarivo_Soavinandriana,827.02,0
Tsiroanomandidy,Mandoto,843.63,0
Fenoarivobe,Ankazobe,567.13,0
Fenoarivobe,Tsiroanomandidy,605.06,0
Fenoarivobe,Merged_Miarinarivo_Soavinandriana,663.93,0
Merged_Fianarantsoa I_Ambalavao,Camp_Haute_Matsiatra,456.49,0
Merged_Fianarantsoa I_Ambalavao,Merged_Manandriana_Ikongo,490.66,0
Merged_Fianarantsoa I_Ambalavao,Merged_Ambohimahasoa_Lalangina_Isandra,628.52,0
Merged_Ambohimahasoa_Lalangina_Isandra,Camp_Haute_Matsiatra,180.89,0
Merged_Ambohimahasoa_Lalangina_Isandra,Ifanadiana,495.7,0
Merged_Ambohimahasoa_Lalangina_Isandra,Ikalamavony,554.49,0
Ikalamavony,Merged_Ambohimahasoa_Lalangina_Isandra,554.49,0
Ikalamavony,Camp_Haute_Matsiatra,555.82,0
Ikalamavony,Merged_Fianarantsoa I_Ambalavao,645.46,0
Merged_Vohibato_Farafangana,Vohipeno,482.69,0
Merged_Vohibato_Farafangana,Vondrozo,498.87,0
Merged_Vohibato_Farafangana,Mahabo,513.19,0
Merged_Ambatofinandrahana_Ambositra,Camp_Amoron_I_Mania,216.28,0
Merged_Ambatofinandrahana_Ambositra,Fandriana,466.08,0
Merged_Ambatofinandrahana_Ambositra,Camp_Vakinankaratra,674.14,0
Fandriana,Camp_Amoron_I_Mania,314.86,0
