Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Haute_Matsiatra sim,Camp_Haute_Matsiatra data,Camp_Haute_Matsiatra error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Camp_Atsinanana sim,Camp_Atsinanana data,Camp_Atsinanana error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,27,0,0.0,0,0,0.0,0,0,0.0,2,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,29,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,80,0,0.0,62,0,0.0,0,0,0.0,0,0,0.0,16,0,0.0,0,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,158,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,240,0,0.0,254,0,0.0,0,0,0.0,0,0,0.0,101,0,0.0,0,0,0.0,30,0,0.0,0,0,0.0,0.0,0,5586,0,625,0
3,2022-02-19,0,0,0.0,55,0,0.0,58,0,0.0,622,0,0.0,499,0,0.0,53,0,0.0,0,0,0.0,262,0,0.0,36,0,0.0,146,0,0.0,41,0,0.0,0.0,0,12691,0,1772,0
4,2022-02-20,4,0,0.0,181,0,0.0,133,0,0.0,1143,0,0.0,1160,0,0.0,144,0,0.0,0,0,0.0,567,0,0.0,98,0,0.0,407,0,0.0,101,0,0.0,0.0,0,19482,0,3938,0
5,2022-02-21,13,0,0.0,395,0,0.0,252,0,0.0,1991,0,0.0,1674,0,0.0,262,0,0.0,0,0,0.0,844,0,0.0,178,0,0.0,706,0,0.0,214,0,0.0,0.0,0,27403,0,6529,0
6,2022-02-22,32,0,0.0,653,0,0.0,380,0,0.0,3227,0,0.0,2341,0,0.0,393,0,0.0,0,0,0.0,1353,0,0.0,321,0,0.0,1009,0,0.0,413,0,0.0,0.0,0,34082,0,10122,0
7,2022-02-23,100,0,0.0,1001,0,0.0,523,0,0.0,4665,0,0.0,3087,0,0.0,653,0,0.0,0,0,0.0,1727,0,0.0,469,0,0.0,1438,0,0.0,632,0,0.0,0.0,0,39535,0,14295,0
8,2022-02-24,205,0,0.0,1281,0,0.0,600,0,0.0,5834,0,0.0,3664,0,0.0,899,0,0.0,0,0,0.0,2031,0,0.0,579,0,0.0,1722,0,0.0,858,0,0.0,0.0,0,40535,0,17673,0
9,2022-02-25,335,0,0.0,1537,0,0.0,645,0,0.0,6556,0,0.0,3950,0,0.0,1078,0,0.0,0,0,0.0,2211,0,0.0,652,0,0.0,1960,0,0.0,1108,0,0.0,0.0,0,41430,0,20032,0
