Day,Date,Camp_Sofia sim,Camp_Sofia data,Camp_Sofia error,Camp_Vakinankaratra sim,Camp_Vakinankaratra data,Camp_Vakinankaratra error,Camp_Amoron_I_Mania sim,Camp_Amoron_I_Mania data,Camp_Amoron_I_Mania error,Camp_Vatovavy_Fitovinany sim,Camp_Vatovavy_Fitovinany data,Camp_Vatovavy_Fitovinany error,Camp_Ihorombe sim,Camp_Ihorombe data,Camp_Ihorombe error,Camp_Atsimo-Andrefana sim,Camp_Atsimo-Andrefana data,Camp_Atsimo-Andrefana error,Camp_Atsimo-Atsinanana sim,Camp_Atsimo-Atsinanana data,Camp_Atsimo-Atsinanana error,Camp_Anosy sim,Camp_Anosy data,Camp_Anosy error,Camp_Androy sim,Camp_Androy data,Camp_Androy error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,refugees in camps (simulation),refugee_debt
0,2022-02-16,0,0,0.0,0,0,0.0,0,0,0.0,33,0,0.0,0,0,0.0,0,0,0.0,1,0,0.0,0,0,0.0,0,0,0.0,0.0,0,960,0,34,0
1,2022-02-17,0,0,0.0,0,0,0.0,0,0,0.0,87,0,0.0,0,0,0.0,0,0,0.0,11,0,0.0,0,0,0.0,0,0,0.0,0.0,0,2703,0,98,0
2,2022-02-18,0,0,0.0,0,0,0.0,0,0,0.0,256,0,0.0,0,0,0.0,0,0,0.0,61,0,0.0,1,0,0.0,36,0,0.0,0.0,0,5586,0,354,0
3,2022-02-19,0,0,0.0,55,0,0.0,52,0,0.0,491,0,0.0,73,0,0.0,0,0,0.0,206,0,0.0,39,0,0.0,130,0,0.0,0.0,0,12691,0,1046,0
4,2022-02-20,3,0,0.0,201,0,0.0,139,0,0.0,1111,0,0.0,180,0,0.0,0,0,0.0,481,0,0.0,96,0,0.0,398,0,0.0,0.0,0,19482,0,2609,0
5,2022-02-21,8,0,0.0,400,0,0.0,249,0,0.0,1666,0,0.0,352,0,0.0,0,0,0.0,697,0,0.0,191,0,0.0,694,0,0.0,0.0,0,27403,0,4257,0
6,2022-02-22,27,0,0.0,639,0,0.0,385,0,0.0,2400,0,0.0,655,0,0.0,0,0,0.0,1143,0,0.0,320,0,0.0,962,0,0.0,0.0,0,34082,0,6531,0
7,2022-02-23,85,0,0.0,970,0,0.0,514,0,0.0,3311,0,0.0,1314,0,0.0,0,0,0.0,1494,0,0.0,487,0,0.0,1358,0,0.0,0.0,0,39535,0,9533,0
8,2022-02-24,165,0,0.0,1254,0,0.0,592,0,0.0,4047,0,0.0,2165,0,0.0,0,0,0.0,1802,0,0.0,605,0,0.0,1622,0,0.0,0.0,0,40535,0,12252,0
9,2022-02-25,271,0,0.0,1480,0,0.0,633,0,0.0,4406,0,0.0,3021,0,0.0,0,0,0.0,1977,0,0.0,694,0,0.0,1857,0,0.0,0.0,0,41430,0,14339,0
10,2022-02-26,406,0,0.0,1677,0,0.0,665,0,0.0,4593,0,0.0,3473,0,0.0,0,0,0.0,2081,0,0.0,773,0,0.0,2009,0,0.0,0.0,0,42234,0,15677,0
11,2022-02-27,541,0,0.0,1905,0,0.0,704,0,0.0,4731,0,0.0,3811,0,0.0,0,0,0.0,2157,0,0.0,835,0,0.0,2133,0,0.0,0.0,0,42959,0,16817,0
12,2022-02-28,686,0,0.0,2121,0,0.0,726,0,0.0,4856,0,0.0,4110,0,0.0,0,0,0.0,2249,0,0.0,899,0,0.0,2240,0,0.0,0.0,0,43615,0,17887,0
13,2022-03-01,834,0,0.0,2315,0,0.0,751,0,0.0,4958,0,0.0,4384,0,0.0,0,0,0.0,2317,0,0.0,955,0,0.0,2315,0,0.0,0.0,0,43648,0,18829,0
14,2022-03-02,965,0,0.0,2472,0,0.0,761,0,0.0,5029,0,0.0,4656,0,0.0,0,0,0.0,2381,0,0.0,1001,0,0.0,2384,0,0.0,0.0,0,43676,0,19649,0
15,2022-03-03,1091,0,0.0,2599,0,0.0,773,0,0.0,5108,0,0.0,4807,0,0.0,0,0,0.0,2415,0,0.0,1043,0,0.0,2436,0,0.0,0.0,0,43703,0,20272,0
